(pi515) D:\pi515\yolo_tracking>python examples/track.py --source ../sheeps_30sec.mp4 --yolo-model ../FEB29/weights/yolov8_best.pt --save

2024-03-02 23:55:30.832 | SUCCESS  | boxmot.appearance.reid_model_factory:load_pretrained_weights:207 - Successfully loaded pretrained weights from "D:\pi515\yolo_tracking\examples\weights\osnet_x0_25_msmt17.pt"
video 1/1 (181/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 313.1ms
video 1/1 (182/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 282.1ms
video 1/1 (183/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 295.4ms
video 1/1 (184/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 312.8ms
video 1/1 (185/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 24 sheeps, 312.8ms
video 1/1 (186/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 24 sheeps, 312.9ms
video 1/1 (187/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 24 sheeps, 312.8ms
video 1/1 (188/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 24 sheeps, 313.8ms
video 1/1 (189/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 22 sheeps, 313.6ms
video 1/1 (190/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 22 sheeps, 266.7ms
video 1/1 (191/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 23 sheeps, 313.6ms
video 1/1 (192/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 23 sheeps, 265.9ms
video 1/1 (193/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 22 sheeps, 313.0ms
video 1/1 (194/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 22 sheeps, 282.7ms
video 1/1 (195/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 23 sheeps, 250.4ms
video 1/1 (196/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 23 sheeps, 265.9ms
video 1/1 (197/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 24 sheeps, 265.8ms
video 1/1 (198/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 24 sheeps, 282.1ms
video 1/1 (199/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 297.4ms
video 1/1 (200/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 313.0ms
video 1/1 (201/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 25 sheeps, 313.0ms
video 1/1 (202/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 25 sheeps, 282.5ms
video 1/1 (203/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 24 sheeps, 297.2ms
video 1/1 (204/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 24 sheeps, 296.8ms
video 1/1 (205/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 25 sheeps, 312.1ms
video 1/1 (206/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 25 sheeps, 298.1ms
video 1/1 (207/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 297.8ms
video 1/1 (208/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 304.5ms
video 1/1 (209/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 312.4ms
video 1/1 (210/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 297.0ms
video 1/1 (211/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 297.6ms
video 1/1 (212/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 298.4ms
video 1/1 (213/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 313.6ms
video 1/1 (214/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 313.1ms
video 1/1 (215/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 306.9ms
video 1/1 (216/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 298.0ms
video 1/1 (217/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 266.3ms
video 1/1 (218/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 281.3ms
video 1/1 (219/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 313.6ms
video 1/1 (220/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 313.1ms
video 1/1 (221/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 281.7ms
