                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.30749,                0.20004,                0.79462,                0.99215,                0.99193,                0.99428,                0.83864,                0.72718,                0.30991,                 1.0561,              0.0003665,              0.0003665,              0.0003665
                     69,                0.30015,                  0.197,                0.79288,                0.98945,                0.99277,                0.99412,                0.83733,                0.72568,                0.31029,                 1.0576,             0.00034175,             0.00034175,             0.00034175
                     70,                0.29992,                0.19668,                0.79448,                0.99094,                 0.9923,                0.99421,                0.83756,                0.72644,                0.30557,                 1.0561,               0.000317,               0.000317,               0.000317
                     71,                0.29616,                0.19462,                0.79324,                0.99129,                0.99143,                0.99413,                0.83737,                0.72293,                0.30898,                 1.0592,             0.00029225,             0.00029225,             0.00029225
                     72,                0.29574,                0.19589,                0.79277,                0.99272,                0.99244,                 0.9942,                0.83922,                0.72477,                0.30607,                 1.0554,              0.0002675,              0.0002675,              0.0002675
                     73,                0.28944,                0.19194,                0.79183,                0.99257,                0.99143,                0.99428,                 0.8401,                0.72337,                0.30795,                 1.0562,             0.00024275,             0.00024275,             0.00024275
                     74,                0.29051,                0.19256,                 0.7924,                0.99274,                0.99193,                0.99425,                0.84033,                 0.7257,                0.30546,                 1.0574,               0.000218,               0.000218,               0.000218
                     75,                0.28457,                 0.1902,                0.79056,                0.99281,                0.99244,                0.99424,                0.83978,                0.72391,                0.30481,                 1.0575,             0.00019325,             0.00019325,             0.00019325
                     76,                0.28606,                0.18989,                0.79074,                0.99326,                0.99344,                0.99424,                0.84073,                0.72289,                0.30353,                 1.0591,              0.0001685,              0.0001685,              0.0001685
                     77,                0.28025,                0.18797,                0.79008,                0.99286,                0.99294,                 0.9943,                0.84061,                0.72454,                0.30564,                 1.0606,             0.00014375,             0.00014375,             0.00014375
                     78,                0.28266,                 0.1891,                0.79007,                0.99276,                0.99294,                0.99432,                 0.8412,                0.72315,                0.30484,                 1.0594,               0.000119,               0.000119,               0.000119
                     79,                0.27236,                0.18412,                0.78803,                0.99349,                0.99244,                0.99429,                0.84074,                0.72147,                0.30426,                 1.0567,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                 0.2792,                0.18689,                0.78851,                0.99316,                0.99244,                0.99431,                0.84092,                0.72357,                0.30292,                 1.0594,               6.95e-05,               6.95e-05,               6.95e-05
